name,sellPrice
FRENOS TRASEROS REGULACIÓN,13000
CAMBIO DE BOMBA DE FRENOS,19600
CAMBIO DE LÍQUIDO DE FRENOS con limpieza y purgado de circuito,11800
SACAR Y PONER CALIPERS DE FRENOS DELANTERO O TRASERO ambos lados,19600
SERVICE AUTO,24800
SERVICE AUTO CON REGULACIÓN Y LIMPIEZA DE FRENOS TRASEROS,32400
SERVICE CAMIONETA,31100
SERVICE CAMIONETA CON REGULACIÓN DE FRENOS TRASEROS,40000
SERVICE ALTA GAMA AUTOS/CAMIONETAS,45000
SERVICE CAJA AUTOMÁTICA SIN FILTRO incluye escaneo y reprogramación de valores,26000
SERVICE CAJA AUTOMÁTICA CON FILTRO incluye escaneo y reprogramación de valores,39100
SERVICE DE INYECCIÓN POR FALLA,31298
SERVICE DE INYECCIÓN POR MANTENIMIENTO,23500
SERVICE DE INYECCIÓN SCANDO MÚLTIPLE ,32000
ESCENO A PEDIDO DE CLIENTE,9500
CAMBIO DE BATERÍA/ESCNEO Y BORRADO DE CÓDIGOS,9500
CONTROL GENERAL INCLUYE ESCANEO ELECTRÓNICO GENERAL,15700
CAMBIO DE BOMBA DE ACEITE,20000
LLENADO/REGENERACIÓN FILTRO DE PARTÍCULAS PEUGEOT/CITROEN,39100
LLENADO/REGENERACIÓN FILTRO DE PARTÍCULAS ,
CAMBIO DE MOTOR PASO A PASO,
CAMBIO DE BUJÍAS,
CAMBIO DE CABLES DE BUJÍAS,
SACAR Y PONER ALTERNADOR,19500
SACAR Y PONER ALTERNADOR SACANDO BOMBA HIDRÁULICA,27400
ARRANQUE FÁCIL,10500
ARRANQUE DIFICULTOSO,17000
CAMBIO BOMBA DE NAFTA,19600
CAMBIO BOMBA ALTA PRESIÓN THP CON DX,58700
SACAR Y COLOCAR TURBOS AMAROK,65200
SACAR Y COLOCAR MÚLTIPLE DE ADMISIÓN (CORSA),16200
BAJAR Y SUBIR TANQUE DE COMBUSTIBLE,23500
SACAR PARA REPARAR INYECTORES y colocar SIN DX,58700
SACAR PARA REPARAR INYECTORES y colocar CON DX,84800
SACAR Y COLOCAR CREMALLERA,39100
CAMBIO CRUZETA/ COLAPSABLE,14300
RECAMBIO EJE TRASERO,45700
EXTREMO DE DIRECCIÓN X LADO,5200
CAMBIO HOMOCINÉTICAS ( ESTÁ EN SEMIEJE CON RETENES) X LADO,13000
SEMIEJE Partner Citroen cambio buje soporte motor inf/retén/rul y seg+ 207+FOCUS +KINETIC,19600
SEMIEJE GENERAL,10400
SACAR PARA REPARAR SEMIEJE LARGO  y colocar,14400
SACAR PARA REPARAR SEMIEJE CORTO y colocar,11800
CAMBIO FUELLE SEMIEJE LADO RUEDA,13000
CAMBIO FUELLE SEMIEJE LADO CAJA,19600
"PRECAP, EXTREMO, FUELLE x lado",5900
SELLADO DE CARTER,10500
CAMBIO DE JUNTA DE CARTER,10500
ALARGUE DE SONDA,5200
